date,month,season,year,solar_radiation_sum,temperature_maximum,temperature_minimum,rainfall_sum,humidity_average
29/04/2007,4,Spring,2007,32756.2,19.81,6.22,0,78.44444444
30/04/2007,4,Spring,2007,26804.8,16.38,9.82,2,73.26041667
01/05/2007,5,Spring,2007,30525.9,16,5.4,0,67.34027778
02/05/2007,5,Spring,2007,15563.7,15.62,7.43,0.8,84.53472222
03/05/2007,5,Spring,2007,29313.6,18.28,7.43,1.2,78.58680556
04/05/2007,5,Spring,2007,33723.3,20.57,7.03,0,70.0625
05/05/2007,5,Spring,2007,38065.9,19.81,4.57,0,60.74652778
06/05/2007,5,Spring,2007,42492.1,21.71,5.4,0,56.64930556
07/05/2007,5,Spring,2007,47158.848,25.17,5.81,0,58.68
08/05/2007,5,Spring,2007,6034.7,27.52,16.38,0.2,40
09/05/2007,5,Spring,2007,42863.3,29.1,8.63,0,49.29861111
10/05/2007,5,Spring,2007,42086.6,29.1,10.99,0,48.45833333
11/05/2007,5,Spring,2007,43615.7,26.34,11.38,0,44.05902778
12/05/2007,5,Spring,2007,32434.7,25.56,10.6,0,54.60416667
13/05/2007,5,Spring,2007,30737.1,22.86,11.77,0,52.01736111
14/05/2007,5,Spring,2007,39445.3,20.19,9.03,0,48.13888889
15/05/2007,5,Spring,2007,44678.6,22.86,3.74,0,46.125
16/05/2007,5,Spring,2007,38702.4,26.34,7.43,0,43.54513889
17/05/2007,5,Spring,2007,40235.3,29.5,11.77,0,48.88888889
18/05/2007,5,Spring,2007,42977.5,31.93,14.47,0,48.10069444
19/05/2007,5,Spring,2007,38120.3,32.34,17.52,0,47.49652778
20/05/2007,5,Spring,2007,19485,27.52,12.55,26.2,63.26388889
21/05/2007,5,Spring,2007,34330,24.01,12.16,0,71.89583333
22/05/2007,5,Spring,2007,28513.4,24.4,12.16,11.6,77.05208333
23/05/2007,5,Spring,2007,26426.8,24.01,12.16,31.6,82.03472222
24/05/2007,5,Spring,2007,10795.7,16.38,10.99,21,89.26388889
25/05/2007,5,Spring,2007,12807.3,16.76,8.23,1.4,92.72222222
26/05/2007,5,Spring,2007,36138.7,21.71,8.63,1.8,79.40972222
27/05/2007,5,Spring,2007,32344.8,21.71,11.77,0,72.54513889
28/05/2007,5,Spring,2007,47627.3,20.19,7.03,0,52.22222222
29/05/2007,5,Spring,2007,46526.2,24.4,8.23,0,52.10763889
30/05/2007,5,Spring,2007,46224.7,25.17,11.38,0,58.55902778
31/05/2007,5,Spring,2007,42919.7,22.09,11.38,0,61.51041667
01/06/2007,6,Summer,2007,46503.7,24.01,10.21,0,50.4375
02/06/2007,6,Summer,2007,42841.2,26.34,10.6,0,52.86458333
03/06/2007,6,Summer,2007,40531.1,27.52,10.99,0,51.59722222
04/06/2007,6,Summer,2007,47214.5,29.1,10.99,0,48.23263889
05/06/2007,6,Summer,2007,46170.3,26.73,10.6,0,54.94097222
06/06/2007,6,Summer,2007,46214.9,27.91,11.38,0,54.57638889
07/06/2007,6,Summer,2007,44188.9,31.12,14.47,0,47.57291667
08/06/2007,6,Summer,2007,36023.7,32.34,15.62,0,51.19791667
09/06/2007,6,Summer,2007,32646.1,29.9,16.38,0,56.13194444
10/06/2007,6,Summer,2007,44462.3,25.95,14.47,2.4,60.85763889
11/06/2007,6,Summer,2007,43491.1,27.91,11.77,0,53.78125
12/06/2007,6,Summer,2007,45560.2,30.71,13.7,0,46.32291667
13/06/2007,6,Summer,2007,43544.2,27.91,14.09,0,48.72569444
14/06/2007,6,Summer,2007,24327.4,23.63,14.09,11.2,69.39236111
15/06/2007,6,Summer,2007,28422.3,22.48,13.7,0.8,82.57291667
16/06/2007,6,Summer,2007,15628.2,21.33,15.23,14.6,91.14583333
17/06/2007,6,Summer,2007,18744.5,21.33,16,2.2,84.08333333
18/06/2007,6,Summer,2007,41592.5,27.52,13.7,0,69.33680556
19/06/2007,6,Summer,2007,43315,25.17,15.62,0,62.45833333
20/06/2007,6,Summer,2007,30078.9,23.63,12.16,0,68.44791667
21/06/2007,6,Summer,2007,44758.8,25.56,10.21,0,54.90277778
22/06/2007,6,Summer,2007,48533.6,27.52,9.82,0,45.64236111
23/06/2007,6,Summer,2007,47342.7,32.76,9.82,0,44.08333333
24/06/2007,6,Summer,2007,44782.7,32.34,17.9,0,50.46180556
25/06/2007,6,Summer,2007,47599.3,28.31,14.47,0,48.41666667
26/06/2007,6,Summer,2007,47668.8,28.31,12.93,0,41.98263889
27/06/2007,6,Summer,2007,46879.9,29.9,11.38,0,43.91319444
28/06/2007,6,Summer,2007,44214.9,31.93,15.62,0,49.23611111
29/06/2007,6,Summer,2007,48161.35385,33.17,15.62,0,32.98776224
30/06/2007,6,Summer,2007,46994.6,34.85,15.62,0,29.01041667
01/07/2007,7,Summer,2007,42473.7,29.1,17.52,0,38.56944444
02/07/2007,7,Summer,2007,47617.2,30.71,12.55,0,41.92361111
03/07/2007,7,Summer,2007,45308.9,32.34,16.38,0,40.93402778
04/07/2007,7,Summer,2007,46622.8,32.76,18.28,0,43.3125
05/07/2007,7,Summer,2007,47835.6,32.34,13.32,0,33.41319444
06/07/2007,7,Summer,2007,46438.8,35.27,16.38,0,36.55902778
07/07/2007,7,Summer,2007,41302.7,36.13,17.52,0,35.27083333
08/07/2007,7,Summer,2007,44323.5,35.27,19.04,0.2,35.73958333
09/07/2007,7,Summer,2007,46428.5,30.31,15.23,0,41.25347222
10/07/2007,7,Summer,2007,47327.7,29.9,12.16,0,34.96875
11/07/2007,7,Summer,2007,46608.6,32.34,12.93,0,37.02083333
12/07/2007,7,Summer,2007,45486.1,34.85,16.38,0,37.72569444
13/07/2007,7,Summer,2007,44336.2,37,17.52,0,36.54513889
14/07/2007,7,Summer,2007,43841,37,19.04,0,30.40277778
15/07/2007,7,Summer,2007,43101.9,35.7,18.66,0,30.56597222
16/07/2007,7,Summer,2007,43538.4,30.71,17.14,0,46.29166667
17/07/2007,7,Summer,2007,45492.1,33.17,16,0,40.86458333
18/07/2007,7,Summer,2007,46647.1,34.01,15.62,0,32.46527778
19/07/2007,7,Summer,2007,46587.4,31.52,16.38,0,28.75694444
20/07/2007,7,Summer,2007,44974.9,29.9,12.16,0,32.86111111
21/07/2007,7,Summer,2007,46782.7,30.31,14.09,0,30.14583333
22/07/2007,7,Summer,2007,43962.2,31.12,14.09,0,29.05208333
23/07/2007,7,Summer,2007,42861,27.91,15.62,0,39.85416667
24/07/2007,7,Summer,2007,46765.8,31.12,12.93,0,35.40972222
25/07/2007,7,Summer,2007,45862.4,35.27,16,0,36.65972222
26/07/2007,7,Summer,2007,46315.9,37.44,17.9,0,29.34027778
27/07/2007,7,Summer,2007,46611.6,38.32,18.28,0,23.42708333
28/07/2007,7,Summer,2007,45607.4,38.77,17.14,0,24.45486111
29/07/2007,7,Summer,2007,42994.7,38.77,19.42,0,30.55902778
30/07/2007,7,Summer,2007,45417.3,37.44,18.66,0,24.69444444
31/07/2007,7,Summer,2007,44627.8,39.67,16.76,0,20.74652778
01/08/2007,8,Summer,2007,40963.7,37,21.71,0,19.49305556
02/08/2007,8,Summer,2007,44317.5,36.57,17.52,0,27.65972222
03/08/2007,8,Summer,2007,43262.4,37.88,17.14,0,34.78819444
04/08/2007,8,Summer,2007,42425.9,40.59,19.81,0,37.21875
05/08/2007,8,Summer,2007,27042.5,38.77,20.95,0,32.08333333
06/08/2007,8,Summer,2007,35660.7,31.12,18.28,7,58.10763889
07/08/2007,8,Summer,2007,35500.9,32.34,17.52,0,49.97916667
08/08/2007,8,Summer,2007,42407.4,29.9,14.47,0,44
09/08/2007,8,Summer,2007,41063.4,32.34,13.7,0,36.62847222
10/08/2007,8,Summer,2007,38334.9,33.17,14.09,0,33.44791667
11/08/2007,8,Summer,2007,41222.4,34.01,16.76,0,27.125
12/08/2007,8,Summer,2007,41047.3,31.12,17.9,0,26.3125
13/08/2007,8,Summer,2007,40946,33.59,14.85,0,37.25347222
14/08/2007,8,Summer,2007,41534.7,33.59,18.28,0,32.48611111
15/08/2007,8,Summer,2007,42486.3,33.17,18.28,0,33.19791667
16/08/2007,8,Summer,2007,41319.7,29.9,16,0,42.53125
17/08/2007,8,Summer,2007,37217,33.17,14.47,0,42.08680556
18/08/2007,8,Summer,2007,41395.9,34.43,17.52,0,48.47916667
19/08/2007,8,Summer,2007,41811,31.93,14.85,0,24.16666667
20/08/2007,8,Summer,2007,40449.7,29.5,13.7,0,35.69097222
21/08/2007,8,Summer,2007,40745.7,27.12,15.62,0,34.39930556
22/08/2007,8,Summer,2007,40321,26.34,9.03,0,44.47222222
23/08/2007,8,Summer,2007,39778.8,29.1,10.99,0,44.13888889
24/08/2007,8,Summer,2007,27809.5,27.52,12.93,0,52.26736111
25/08/2007,8,Summer,2007,15564.5,28.7,15.62,5.6,76.15277778
26/08/2007,8,Summer,2007,30212.1,34.43,18.66,0.2,48.99652778
27/08/2007,8,Summer,2007,24279.3,38.32,20.95,0,32.47916667
28/08/2007,8,Summer,2007,35411.1,37.44,22.09,0,31.04166667
29/08/2007,8,Summer,2007,39098.2,29.1,16.76,0,35.75347222
30/08/2007,8,Summer,2007,37742.1,29.1,15.23,0,41.47916667
31/08/2007,8,Summer,2007,39816,29.1,9.42,0,35.63541667
01/09/2007,9,Fall,2007,37320.9,31.93,12.93,0,39.11805556
02/09/2007,9,Fall,2007,36858.5,33.59,16.38,0,42.13541667
03/09/2007,9,Fall,2007,36263.2,34.01,14.85,0,35.01388889
04/09/2007,9,Fall,2007,37821.1,32.34,13.32,0,33.125
05/09/2007,9,Fall,2007,37373.6,32.76,11.38,0,36.71875
06/09/2007,9,Fall,2007,36905.8,31.93,14.85,0,53.60416667
07/09/2007,9,Fall,2007,36743.4,33.17,12.55,0,31.35069444
08/09/2007,9,Fall,2007,36113.3,32.76,14.09,0,37.87847222
09/09/2007,9,Fall,2007,27713.3,30.31,17.52,0,42.09722222
10/09/2007,9,Fall,2007,30830.8,31.52,14.85,0.2,53.23958333
11/09/2007,9,Fall,2007,33168.2,31.12,14.85,0,51.875
12/09/2007,9,Fall,2007,27634.4,29.1,17.9,0,48.36805556
13/09/2007,9,Fall,2007,27727.1,28.31,16.76,0,58.75347222
14/09/2007,9,Fall,2007,20281,25.17,14.09,0.2,69.50694444
15/09/2007,9,Fall,2007,29502,28.7,12.16,0,62.22569444
16/09/2007,9,Fall,2007,29907,30.71,16,0,53.86805556
17/09/2007,9,Fall,2007,27315.7,27.52,16.38,2.4,58.30902778
18/09/2007,9,Fall,2007,29974.6,27.91,12.16,0,56.24652778
19/09/2007,9,Fall,2007,30532,29.9,12.55,0,49.45138889
20/09/2007,9,Fall,2007,28826,30.31,15.23,0,62.86458333
21/09/2007,9,Fall,2007,22058.6,25.56,15.62,0.4,66.73263889
22/09/2007,9,Fall,2007,32022.9,27.91,10.99,0,66.68055556
23/09/2007,9,Fall,2007,24755.9,27.52,14.47,0,64.54166667
24/09/2007,9,Fall,2007,31572,29.5,14.47,0,50.41666667
25/09/2007,9,Fall,2007,31573.5,28.7,13.7,0,41.11111111
26/09/2007,9,Fall,2007,32934.5,22.86,9.82,0,42.48263889
27/09/2007,9,Fall,2007,31683,20.95,6.22,0,44.75
28/09/2007,9,Fall,2007,31314.5,25.17,4.15,0,42.33680556
29/09/2007,9,Fall,2007,10748.2,20.57,12.16,0,67.32638889
30/09/2007,9,Fall,2007,23480.8,26.34,11.77,0,63.87847222
01/10/2007,10,Fall,2007,17421.8,25.56,16,0.8,70.73611111
02/10/2007,10,Fall,2007,15824.01103,24.79,12.93,0.4,75.38793103
03/10/2007,10,Fall,2007,14755.4,21.71,12.93,56.4,89.89236111
04/10/2007,10,Fall,2007,19248.1,20.95,9.42,0,84.625
05/10/2007,10,Fall,2007,25300.9,23.24,11.77,0.2,77.11458333
06/10/2007,10,Fall,2007,26895.8,24.4,10.99,0,69.47222222
07/10/2007,10,Fall,2007,21148.2,24.4,9.82,0,72.45486111
08/10/2007,10,Fall,2007,26670.9,25.56,10.6,0,67.03472222
09/10/2007,10,Fall,2007,28298.3,24.4,10.21,0,55.75694444
10/10/2007,10,Fall,2007,27487,23.63,6.62,0,62.00694444
11/10/2007,10,Fall,2007,27372.1,19.81,10.21,0,54.64930556
12/10/2007,10,Fall,2007,26618.1,22.48,9.42,0,57.27083333
13/10/2007,10,Fall,2007,27148.1,23.24,7.83,0,56.17708333
14/10/2007,10,Fall,2007,24839.2,23.63,8.23,0,62.64583333
15/10/2007,10,Fall,2007,23080.5,22.86,9.42,0,68.05208333
16/10/2007,10,Fall,2007,23517.6,23.24,10.6,0,68.57986111
17/10/2007,10,Fall,2007,24495.8,24.01,9.82,0,65.17361111
18/10/2007,10,Fall,2007,25193.2,24.01,8.23,0,56.17361111
19/10/2007,10,Fall,2007,24979.1,23.24,6.62,0,65.55208333
20/10/2007,10,Fall,2007,25358,24.01,5.4,0,58.60763889
21/10/2007,10,Fall,2007,22760.7,20.95,5.4,0,47.53472222
22/10/2007,10,Fall,2007,24449.4,23.24,4.57,0,54.07986111
23/10/2007,10,Fall,2007,14334.2,20.19,9.82,0,51.73263889
24/10/2007,10,Fall,2007,5609.3,14.85,10.21,1.4,87.07291667
25/10/2007,10,Fall,2007,23555.22207,18.28,4.99,0.4,73.69827586
26/10/2007,10,Fall,2007,23645.6,16.76,2.46,0,66.83333333
27/10/2007,10,Fall,2007,22790.4,17.9,1.6,0,67.98958333
28/10/2007,10,Fall,2007,23223.1,20.19,3.74,0,62.42708333
29/10/2007,10,Fall,2007,23919.3,22.09,3.74,0,57.93402778
30/10/2007,10,Fall,2007,23027.9,17.14,5.81,0,58.17708333
31/10/2007,10,Fall,2007,23191.4,17.52,2.89,0,55.67013889
01/11/2007,11,Fall,2007,22293.3,18.28,1.6,0,47.94097222
02/11/2007,11,Fall,2007,22450.4,19.81,1.6,0,50.72916667
03/11/2007,11,Fall,2007,21955.6,20.19,2.03,0,63.44097222
04/11/2007,11,Fall,2007,21892.1,21.33,2.46,0,51.55902778
05/11/2007,11,Fall,2007,21300.1,20.95,2.46,0,51.27777778
06/11/2007,11,Fall,2007,21720.3,20.57,2.46,0,57.61111111
07/11/2007,11,Fall,2007,21082,20.57,2.46,0,51.5625
08/11/2007,11,Fall,2007,20697.8,19.81,0.29,0,61.91666667
09/11/2007,11,Fall,2007,12759.2,16.76,2.03,0,57.11805556
10/11/2007,11,Fall,2007,19036.7,18.28,2.03,0,55.25347222
11/11/2007,11,Fall,2007,20716.7,18.28,-2.43,0,48.57986111
12/11/2007,11,Fall,2007,19281,20.19,1.6,0,34.55902778
13/11/2007,11,Fall,2007,19328.2,19.81,2.03,0,36.42708333
14/11/2007,11,Fall,2007,19419.7,17.52,-1.51,0,53.01388889
15/11/2007,11,Fall,2007,19238.1,15.62,2.03,0,58.07638889
16/11/2007,11,Fall,2007,20819.3,14.47,-4.81,0,34.82986111
17/11/2007,11,Fall,2007,20166.5,14.09,-5.8,0,25.50694444
18/11/2007,11,Fall,2007,19936.6,13.7,-7.85,0,31.71180556
19/11/2007,11,Fall,2007,8705.3,12.16,-0.15,0.2,42.30902778
20/11/2007,11,Fall,2007,4734.2,14.47,5.81,11.4,88.94791667
21/11/2007,11,Fall,2007,12620.2,12.55,4.15,0.2,84.05555556
22/11/2007,11,Fall,2007,13417.5,13.32,0.73,0,87.17708333
23/11/2007,11,Fall,2007,17181.6,12.93,2.03,0,79.67013889
24/11/2007,11,Fall,2007,18499.3,12.16,0.29,0,67.59027778
25/11/2007,11,Fall,2007,18420.4,12.93,0.29,0,58.95833333
26/11/2007,11,Fall,2007,17761.6,16,0.73,0,67.92361111
27/11/2007,11,Fall,2007,17775.6,16,2.46,0,58.52777778
28/11/2007,11,Fall,2007,17367.5,12.16,-1.51,0,70.84027778
29/11/2007,11,Fall,2007,15401.8,12.16,-2.9,0,76.35763889
30/11/2007,11,Fall,2007,17225.6,13.32,-1.51,0,74.51388889
01/12/2007,12,Winter,2007,14315.5,11.77,-3.37,0,77.1875
02/12/2007,12,Winter,2007,13394.3,13.32,0.29,0,89.96875
03/12/2007,12,Winter,2007,15004.1,15.23,4.57,0,86.09375
04/12/2007,12,Winter,2007,15951.4,15.23,1.17,0,85.63888889
05/12/2007,12,Winter,2007,16363.1,14.85,0.73,0,83.97916667
06/12/2007,12,Winter,2007,14891.7,14.09,0.73,0,85.56597222
07/12/2007,12,Winter,2007,5018.7,7.43,1.6,0,98.04166667
08/12/2007,12,Winter,2007,5620.3,7.03,-0.15,0.4,100
09/12/2007,12,Winter,2007,8587.8,14.85,4.99,0,86.69444444
10/12/2007,12,Winter,2007,16453,13.32,2.46,0,61.80208333
11/12/2007,12,Winter,2007,16321.5,11.77,-2.43,0,70.90625
12/12/2007,12,Winter,2007,16284,12.16,-3.85,0,63.25694444
13/12/2007,12,Winter,2007,16459,11.77,-3.37,0,56.14930556
14/12/2007,12,Winter,2007,16489.1,9.82,-6.3,0,66.94097222
15/12/2007,12,Winter,2007,16316.3,8.23,-6.81,0,76.04166667
16/12/2007,12,Winter,2007,14653.3,9.03,-5.31,0,70.23611111
17/12/2007,12,Winter,2007,12817.6,7.43,-4.33,0,78.79861111
18/12/2007,12,Winter,2007,2987.7,6.62,2.46,0.6,92.33333333
19/12/2007,12,Winter,2007,7930.2,9.82,4.15,0,79.75
20/12/2007,12,Winter,2007,3129.2,9.42,5.81,0.2,82.78472222
21/12/2007,12,Winter,2007,6011.9,12.55,4.99,0,82.34375
22/12/2007,12,Winter,2007,3833.5,9.42,2.03,0.8,92.97222222
23/12/2007,12,Winter,2007,10290.3,13.7,5.4,0.2,88.59027778
24/12/2007,12,Winter,2007,11314.2,12.16,2.03,0,88.64930556
25/12/2007,12,Winter,2007,14180.2,12.16,-2.43,0,86.00694444
26/12/2007,12,Winter,2007,9702,12.93,3.31,0,77.23263889
27/12/2007,12,Winter,2007,11744.2,12.16,0.29,0,80.70486111
28/12/2007,12,Winter,2007,15306.5,11.38,-3.37,0,86.78645833
29/12/2007,12,Winter,2007,13547.9,8.63,-4.81,0,91.28125
30/12/2007,12,Winter,2007,14737.9,11.38,-2.43,0,84.11979167
31/12/2007,12,Winter,2007,16301.6,10.6,-1.97,0,81.63368056
01/01/2008,1,Winter,2008,8253,7.43,-3.37,0,83.70486111
02/01/2008,1,Winter,2008,5376.6,10.21,4.15,1.4,90.86111111
03/01/2008,1,Winter,2008,7298.7,9.42,4.15,5.2,88.04861111
04/01/2008,1,Winter,2008,15407.9,10.21,3.31,0,86.67013889
05/01/2008,1,Winter,2008,9014.3,11.77,4.57,0,89.60416667
06/01/2008,1,Winter,2008,4475.2,13.7,9.42,0,95.18923611
07/01/2008,1,Winter,2008,5796.7,12.16,6.62,0,89.50694444
08/01/2008,1,Winter,2008,4420.2,8.63,3.31,0,98.28645833
09/01/2008,1,Winter,2008,6551.5,10.99,6.22,0,97.61111111
10/01/2008,1,Winter,2008,7615.6,14.09,7.03,0.2,93.46701389
11/01/2008,1,Winter,2008,3614.2,11.77,3.74,3.6,84.94097222
12/01/2008,1,Winter,2008,15847.9,10.6,0.29,0.2,73.61805556
13/01/2008,1,Winter,2008,17410.2,11.38,-1.51,0.8,76.34375
14/01/2008,1,Winter,2008,12337.9,10.21,3.74,2.6,93.375
15/01/2008,1,Winter,2008,5653.1,10.6,2.46,0,88.68576389
16/01/2008,1,Winter,2008,8620.2,12.55,5.4,0,75.54166667
17/01/2008,1,Winter,2008,13925.3,11.77,2.89,0,85.36805556
18/01/2008,1,Winter,2008,8865.7,12.93,4.57,0,96.41666667
19/01/2008,1,Winter,2008,16310.5,17.9,0.29,0.2,90.86631944
20/01/2008,1,Winter,2008,18083.2,17.9,2.46,0,86.87673611
21/01/2008,1,Winter,2008,17798.3,16.38,0.73,0,87.71354167
22/01/2008,1,Winter,2008,16078,18.28,-1.05,0.2,82.77777778
23/01/2008,1,Winter,2008,18300.2,16.38,1.17,0,71.18055556
24/01/2008,1,Winter,2008,16189.3,14.47,2.46,0,84.00173611
25/01/2008,1,Winter,2008,12783,13.32,2.03,0,84.26909722
26/01/2008,1,Winter,2008,18826.4,14.85,-1.51,0,78.92881944
27/01/2008,1,Winter,2008,19500.2,14.85,0.29,0,75.89236111
28/01/2008,1,Winter,2008,20134.1,17.14,-1.51,0,67.95659722
29/01/2008,1,Winter,2008,20263.1,17.14,-0.6,0,58.47569444
30/01/2008,1,Winter,2008,19011.6,14.85,-1.97,0,67.83506944
31/01/2008,1,Winter,2008,26323.48235,12.93,-0.6,0,69.49019608
01/02/2008,2,Winter,2008,3644.3,11.2,-1.9,0.4,69
02/02/2008,2,Winter,2008,5341.9,11.2,-1.3,0,75
03/02/2008,2,Winter,2008,5654,11.5,2.8,3.1,75.5
04/02/2008,2,Winter,2008,9047.9,12.9,1.2,0,69
05/02/2008,2,Winter,2008,9654,13.1,0,0,73.5
06/02/2008,2,Winter,2008,10560.4,16,-2.2,0,70
07/02/2008,2,Winter,2008,20189.2,17.8,-1,0,63.5
08/02/2008,2,Winter,2008,12431.4,19.7,-0.8,0,59
09/02/2008,2,Winter,2008,9084.4,16.3,-1.3,0,62.5
10/02/2008,2,Winter,2008,18820.4,15.9,0.5,0,60
11/02/2008,2,Winter,2008,23168.4,15.6,-4.1,0,62
12/02/2008,2,Winter,2008,23385.5,12.1,1.2,0,64.5
13/02/2008,2,Winter,2008,24359.1,10.9,-0.6,0,67
14/02/2008,2,Winter,2008,24741.7,10.9,5.8,0,64.5
15/02/2008,2,Winter,2008,22285.7,14.5,5.8,0,66.5
16/02/2008,2,Winter,2008,23931.4,16.4,0.6,0,66.5
17/02/2008,2,Winter,2008,24802.6,13.4,4.4,0.9,67.5
18/02/2008,2,Winter,2008,25072.9,12,7.1,0.8,83.5
19/02/2008,2,Winter,2008,25738,13.5,8.6,2,84.5
20/02/2008,2,Winter,2008,18124.7,15.9,7.1,0,73.5
21/02/2008,2,Winter,2008,22423.1,16.8,6.1,0,68.5
22/02/2008,2,Winter,2008,26271.4,17.9,2.2,0,64.5
23/02/2008,2,Winter,2008,26347.5,16.9,3.8,4.9,61
24/02/2008,2,Winter,2008,26678.5,11.4,7.5,6.2,77.5
25/02/2008,2,Winter,2008,22509.5,13.9,4.2,0,76.5
26/02/2008,2,Winter,2008,27269.8,17.6,1.9,0,72
27/02/2008,2,Winter,2008,25849.2,20.4,3.3,3.9,66
28/02/2008,2,Winter,2008,12459.5,18.5,8.3,0,67
29/02/2008,2,Winter,2008,,,,0,
01/03/2008,3,Spring,2008,11764.6,19.7,2.8,0,65.5
02/03/2008,3,Spring,2008,10908.4,21.6,3.1,0,63
03/03/2008,3,Spring,2008,5025.6,22.3,4.3,0,60.5
04/03/2008,3,Spring,2008,7568.4,12.9,2.4,0,60
05/03/2008,3,Spring,2008,27782.9,11.4,-4,0,59.5
06/03/2008,3,Spring,2008,17369.1,14.8,-4.8,0,53
07/03/2008,3,Spring,2008,29745.5,16.45,-2.65,0,50.5
08/03/2008,3,Spring,2008,31209.5,18.1,-0.5,0,48
09/03/2008,3,Spring,2008,31769.4,15.6,-0.7,0,61.5
10/03/2008,3,Spring,2008,30585.5,11.9,1.2,0,73.5
11/03/2008,3,Spring,2008,29973.3,21.9,5.7,0,66
12/03/2008,3,Spring,2008,31179.3,21.5,5.9,0,62
13/03/2008,3,Spring,2008,31713,23.7,1.5,0,56.5
14/03/2008,3,Spring,2008,31387.2,24.6,5.5,0,50.5
15/03/2008,3,Spring,2008,29507.9,19.9,8.3,0,50.5
16/03/2008,3,Spring,2008,32191.8,,,0,
17/03/2008,3,Spring,2008,33512.4,,,1.6,
18/03/2008,3,Spring,2008,33977,15.5,5.5,0,64.5
19/03/2008,3,Spring,2008,34199.7,17.2,-0.3,0,59
20/03/2008,3,Spring,2008,34028.5,15,2.4,0,52.5
21/03/2008,3,Spring,2008,33828.3,19.6,-4.1,0,50
22/03/2008,3,Spring,2008,33311.7,16,3.3,4.8,66
23/03/2008,3,Spring,2008,33935.2,10.3,-1.3,0,59
24/03/2008,3,Spring,2008,31736.9,15.6,0.4,0,56
25/03/2008,3,Spring,2008,36153.5,19.5,0.8,0,61
26/03/2008,3,Spring,2008,36394.6,14.5,6.3,0,54.5
27/03/2008,3,Spring,2008,32074.7,19,6.5,0,62
28/03/2008,3,Spring,2008,17688.2,21.8,5.2,0,61
29/03/2008,3,Spring,2008,19575.7,23.7,4.3,0,56
30/03/2008,3,Spring,2008,11121.1,18,5.3,1.8,67.5
31/03/2008,3,Spring,2008,33982,17.1,1.4,0,55.5
01/04/2008,4,Spring,2008,36528,20.2,1.2,0,59
02/04/2008,4,Spring,2008,34362.4,24.3,7.2,0,55
03/04/2008,4,Spring,2008,36306.2,27,5.1,0,43
04/04/2008,4,Spring,2008,36666,26.4,4.3,0,45.5
05/04/2008,4,Spring,2008,37221,24.5,6,0,53.5
06/04/2008,4,Spring,2008,30337.2,26.4,5.4,0,45
07/04/2008,4,Spring,2008,28117.2,20.3,9.5,16.5,69
08/04/2008,4,Spring,2008,39198.5,15.6,8.6,17.2,70.5
09/04/2008,4,Spring,2008,35698.3,18.9,12,0.8,71
10/04/2008,4,Spring,2008,22695.8,17.9,9.2,3.6,68.5
11/04/2008,4,Spring,2008,31727.3,11.6,2.9,3.4,75
12/04/2008,4,Spring,2008,34316.1,16.3,0.4,0.3,65.5
13/04/2008,4,Spring,2008,41242.2,17.1,3,0,68
14/04/2008,4,Spring,2008,12851.9,18.1,3.2,0,61
